frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0,-0.0019078099766131618,-0.02680306736789685,0.5268911051435352,-0.04134264543346746,0.05234117484686864,0.7043246377500362,0.706737569216815,-0.3800272755112926,0.18015405807485804,0.03905627416825942,0.29251550384933517,-0.10948992678385859,-0.122417809741306,-0.37994705609541163,-0.1701295621149236,-0.09564504960832211,0.2501477422033236,-0.08376267778870007,0.15725890378549703,0.018693646006786163,-0.03441606032278902,0.44687366330787465,-0.6062929950839524,-0.6364782180247759,-0.0326150863539784,-0.024744734920299195,-0.4279829681216254,0.6497661106343315,-0.6897233989739244,-0.0052033296923211705
1,-0.0021345777995065785,-0.0263953189616161,0.5270424829077464,-0.04198539294728842,0.05270848793313631,0.7039834188145625,0.7070122970026931,-0.3806365646285121,0.18045766534672436,0.040351028008491496,0.2932973023504531,-0.11054678870250019,-0.12122157511439148,-0.3747909802558489,-0.16953838333745516,-0.0972784164710747,0.2387304401487244,-0.0824367496684413,0.1579273101167789,0.021948424132046097,-0.031323413910495077,0.44936355789552035,-0.6068414558921963,-0.6448505120350169,-0.03392934529546486,-0.015852874479875847,-0.4336821843026812,0.6490568639964815,-0.699573079640537,-0.004093923594399263
2,-0.002892137126763472,-0.0259560974662534,0.5270167343068697,-0.04311169174463078,0.05322237719678765,0.7034376633705972,0.7074490895832386,-0.3855801843832763,0.1810527333693998,0.042620190305159726,0.30066956163616915,-0.11551569463735806,-0.11881094363583594,-0.37349982042526814,-0.16950087071559894,-0.09862608343542499,0.23203487193120795,-0.08209577433524967,0.15807069364841297,0.02465287016501982,-0.030894419237150715,0.45011019422639925,-0.6102478758867104,-0.6511943311697396,-0.03635328909256256,-0.012117471941297017,-0.4373425537936858,0.6495921802727435,-0.7022159625290962,-0.001769965374572231
3,-0.004038245213515664,-0.02533181843108321,0.5269271819438052,-0.04451592515643139,0.05384887453113897,0.7033755516751418,0.7073764658404225,-0.39170871821998887,0.18148796194474703,0.04645542178631849,0.30954664243137,-0.12258363739349633,-0.11561976691097568,-0.3731806467478576,-0.17033232104956153,-0.10114447521582878,0.2275082560597021,-0.08290464703172057,0.15815410922900058,0.026601819285858336,-0.032072702784363624,0.45089123351215454,-0.6153828091787125,-0.6590650553568085,-0.039911476664306916,-0.009506297274597973,-0.4396519865029242,0.6502409100772504,-0.7034191951778327,-0.0003675877955004415
4,-0.00620162224178133,-0.024648854839802826,0.5267128988881213,-0.04656225328492691,0.05446714319060563,0.703617036042254,0.7069571086514357,-0.39984871459466526,0.18153065939675475,0.051118171610461983,0.32049905827190384,-0.1315069925490341,-0.11228643114017302,-0.3740251540109222,-0.17209504062930472,-0.10446053436126769,0.2244164582110441,-0.08379426939705165,0.15974941062173634,0.026932368434034768,-0.03414036086937008,0.4509267606681739,-0.6205756430539738,-0.6669504369175179,-0.04319270488838099,-0.008196974626372148,-0.44280275456120627,0.6500625592041515,-0.706474815808036,-0.0001656006817836172
5,-0.009159159721385972,-0.02408944925308787,0.5263466453545305,-0.049656961770310544,0.055131137605014285,0.7039162827789143,0.7063969214633049,-0.4123275263843433,0.18214152191452254,0.05539743980914185,0.3357596831126519,-0.14166443836088122,-0.11031187966166045,-0.37694201301703595,-0.17392553091373744,-0.11057142069520237,0.22282702887958447,-0.08410817829081395,0.16464270791543345,0.027611947143268024,-0.04017610972221873,0.4546105744846663,-0.6224704001435022,-0.6731765513958538,-0.04903972977174199,-0.008713496676877156,-0.44696542377216875,0.6456847086093359,-0.7094451260112999,0.0014341250628386946
6,-0.01404970594426404,-0.02381942019935375,0.525799750734491,-0.05387057469101381,0.05560092839475026,0.7051824367071602,0.7047866548849047,-0.42884563827029715,0.18107724858292637,0.05775041071493019,0.35316875371129514,-0.15304327925652655,-0.10773985172552976,-0.380652587953419,-0.17730275102223944,-0.1177248481217467,0.22157796266054405,-0.08007328941815625,0.17134476485192326,0.025663900223487857,-0.04515323990536548,0.4618220165855376,-0.6205964489918642,-0.6812470610716415,-0.05223448716561316,-0.00922653623872106,-0.4547251973265082,0.6415675293631407,-0.7155160828279985,-0.0003296837875019627
7,-0.01947242181043772,-0.02446476518558376,0.5251671397905465,-0.057579396435766816,0.055368709544579425,0.706141451173248,0.7035504033432147,-0.44460711845580003,0.17917430585510502,0.05871438662800327,0.36979361025938234,-0.1611691173952451,-0.10562465229433063,-0.384717418197924,-0.1810253193159847,-0.12410324021424864,0.22172437448272103,-0.07125723509317054,0.1795940903111754,0.023178092466935002,-0.050857938039475824,0.467931934970956,-0.6133495791702666,-0.683346859458629,-0.05189258740382087,-0.011448870808138363,-0.46333936906782713,0.6327435463511663,-0.7212504458169889,-0.0009074471324149405
8,-0.027372427285014867,-0.026385705926350603,0.5243391516939395,-0.061496119279855606,0.054080620556410136,0.708381614784474,0.7010627658270634,-0.4592273820804949,0.1741021138636479,0.058598167553049536,0.38017234117577386,-0.16945319554755306,-0.10221756004647296,-0.389564200174786,-0.18704713515531488,-0.12843667734928702,0.22549859680108872,-0.05160292929865455,0.19150585072573306,0.016478331822497635,-0.05724011504927803,0.47187217216554234,-0.603791768720131,-0.6854247012599326,-0.04897053391581622,-0.012077706806410635,-0.4753481572806804,0.6262584311893323,-0.7275541780948471,0.0011227771869484942
9,-0.03923323709749781,-0.03075293075129784,0.5221660383638802,-0.06885145803750442,0.05285879983480059,0.7121401006435174,0.6966504870173957,-0.4943055300287837,0.16606731138495487,0.052237032795078034,0.40658461807354784,-0.1877340885885016,-0.09565145104154127,-0.41379234478056753,-0.19593958928045685,-0.1226115292084988,0.25161510834372264,-0.0247760475016304,0.20267450136973988,0.003277294278577437,-0.06533137321054253,0.4771507766945611,-0.5858312748145366,-0.6888061903010676,-0.035184509722532044,-0.01302484178774136,-0.49473622297679887,0.6246210899245247,-0.7423067182447325,0.004207391330259916
