root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
-0.092251,1.95926,0.367906,0.259821,-0.011174,-0.965285,-0.024363,0.389859,-0.321037,-0.095396,0.471671,-0.271037,0.956041,-1.098787,-0.031395,0.09407,0.35105,0.109992,0.0,0.367811,0.413527,-0.241177,-1.746842,-0.440202,-0.499373,-0.028825,-0.294363,0.911202,-0.156564,0.0,0.410742,-0.748318,0.355088,-2.0,0.206978,0.114869,0.452504,-0.42214,0.422228,0.502765,0.0,0.304539,-2.600245,1.407753,-0.853126,-1.601522,-0.068642,-0.21145,-1.512807,4.600226,0.625221,0.0,-0.036473,-1.347133,0.480998,-0.103556,-0.985798
-0.102997,1.978157,0.369465,0.255213,-0.018795,-0.966686,-0.005596,0.35428,-0.29805,-0.002416,0.301939,-0.319432,0.684215,-1.09732,0.032471,0.042133,0.424869,0.109293,0.0,0.379056,0.328277,-0.202428,-1.792788,-0.495408,-0.501159,-0.0423,-0.356366,1.055538,-0.121028,0.0,0.394285,-0.777373,0.367545,-2.0,0.184728,-0.476312,1.03132,-1.015895,3.484538,-1.546876,0.0,0.231936,-2.284156,1.248375,-1.690325,-1.506593,-0.830721,-0.824905,-1.211607,5.415503,0.922533,0.0,-0.892803,-0.215724,0.637385,-0.0,-0.162933
-0.115841,1.979164,0.367745,0.249935,-0.015204,-0.968143,0.000389,0.601133,0.039905,-0.051614,-0.339566,0.119055,0.515093,-1.130542,0.037359,0.026344,0.583353,0.006867,0.0,0.383273,0.26125,-0.157952,-1.85953,-0.540641,-0.554755,-0.083819,-0.375136,1.272235,-0.095062,0.0,0.351221,-0.7627,0.39758,-2.0,0.196116,-0.815159,0.1027,-0.568202,4.753433,-3.509088,0.0,-0.896025,-1.313044,1.087473,-1.810365,-0.035592,-2.054142,-0.951601,0.995252,5.913202,0.154527,0.0,-1.53038,1.648857,0.125882,-0.0,0.544021
-0.143046,1.975115,0.366024,0.259147,-0.00341,-0.965798,0.008031,0.750054,0.098772,-0.007656,-0.650548,0.329843,0.533826,-1.151664,0.039318,0.004252,0.741764,-0.124647,0.0,0.319321,0.24074,-0.12993,-1.913479,-0.497781,-0.638102,-0.10574,-0.290016,1.449751,-0.110726,0.0,0.29226,-0.667449,0.375937,-2.0,0.220996,0.071364,0.245516,-0.617911,3.641249,-3.456405,0.0,-2.811295,0.230696,0.623308,-0.477888,2.971247,-2.515342,-0.722863,1.854245,4.463241,-0.61484,0.0,-1.610016,3.905305,-1.793789,1.365066,0.144768
-0.165704,1.971582,0.367234,0.260322,0.010445,-0.965391,0.01198,0.678763,0.127881,0.0631,-0.654871,-0.086955,0.211976,-1.125784,0.053727,-0.014851,0.826102,-0.22356,0.0,0.195853,0.27663,-0.116398,-1.89139,-0.342558,-0.722444,-0.13201,-0.25152,1.569785,-0.136051,0.0,0.243887,-0.502346,0.277994,-1.908996,0.205767,1.441945,0.487292,-0.26654,1.813201,-2.721808,0.0,-3.674718,0.903591,0.250449,1.207882,2.104148,-2.700571,-1.155902,1.449088,3.072983,-0.539087,0.0,-1.512219,4.705377,-3.537811,3.760886,1.009845
-0.188113,1.965665,0.37023,0.256047,0.019467,-0.966424,0.009224,0.657846,0.150877,0.081512,-0.496736,-0.144356,-0.329348,-1.055534,0.071804,-0.013517,0.862644,-0.306101,0.0,0.07434,0.30098,-0.113233,-1.832953,-0.357505,-0.81814,-0.1828,-0.19341,1.654617,-0.146665,0.0,0.191445,-0.353757,0.140083,-1.749274,0.288319,2.217684,0.631402,0.397014,0.718318,-2.201268,0.0,-2.992493,0.243688,0.208713,0.365122,-3.381829,-3.240089,-1.21106,1.787677,1.537633,-0.367241,0.0,-0.926821,3.53943,-2.853367,3.67756,1.327643
-0.209467,1.961127,0.372668,0.255791,0.023585,-0.96644,-0.002971,0.61676,0.121019,0.078467,-0.255678,-0.013464,-0.741103,-0.977938,0.095821,0.011617,0.87399,-0.370311,0.0,-0.003646,0.292876,-0.102484,-1.867048,-0.568013,-0.93845,-0.212747,-0.132341,1.672293,-0.160534,0.0,0.182099,-0.266384,0.08777,-1.663825,0.294277,2.548958,0.558373,0.995858,-0.20085,-1.430294,0.0,-1.711144,-0.443064,0.251735,-1.678114,-3.571064,-3.371866,-0.775667,1.221039,-0.719011,-0.345638,0.0,0.458679,1.366411,-0.697253,0.959175,-0.560981
-0.229387,1.958441,0.375461,0.256254,0.021381,-0.966226,-0.016839,0.605303,0.065593,0.085536,0.145174,-0.119748,-0.863179,-0.885604,0.109029,0.052874,0.849254,-0.401453,0.0,-0.039736,0.271442,-0.096451,-1.944828,-0.595576,-1.042931,-0.234511,-0.112008,1.606683,-0.169708,0.0,0.222024,-0.262663,0.0936,-1.685329,0.25092,3.17247,0.079112,1.36323,-1.149687,-0.298007,0.0,-0.824222,-0.538964,0.019788,-1.994277,2.000895,-2.60378,-0.150335,0.423815,-3.092208,0.093866,0.0,1.59813,-0.66376,0.140607,-1.285212,-1.009682
-0.249989,1.958779,0.378371,0.252286,0.011727,-0.967126,-0.029687,0.633351,-0.022913,0.088551,0.503967,-0.342447,-0.885925,-0.76644,0.101095,0.102499,0.797344,-0.390178,0.0,-0.058594,0.256945,-0.101165,-2.0,-0.43462,-1.112035,-0.222769,-0.104087,1.466146,-0.154276,0.0,0.288641,-0.310635,0.097143,-1.749506,0.226965,3.76179,-0.446013,1.378415,-1.70973,1.125387,0.0,-0.764227,-0.301318,-0.451535,-0.827584,4.837096,-1.476157,1.022504,0.286029,-5.401717,1.016917,0.0,2.093206,-1.453058,0.062427,-1.881854,-0.857048
-0.271388,1.963027,0.381365,0.244814,-0.001796,-0.968678,-0.041545,0.714094,-0.077926,0.056237,0.637485,-0.400954,-0.724188,-0.634818,0.079295,0.144768,0.735272,-0.326428,0.0,-0.090685,0.251354,-0.126553,-2.0,-0.273102,-1.141341,-0.166344,-0.092939,1.246568,-0.101913,0.0,0.361571,-0.359533,0.097761,-1.810786,0.193783,3.957136,-0.826165,1.022705,-1.751767,2.121282,0.0,-0.839759,0.129628,-1.062955,-2e-06,4.160776,-0.472903,1.989084,0.882235,-7.126541,1.628478,0.0,1.887198,-1.060467,-0.153786,-1.412071,-0.975964
