frame,root_pos_x,root_pos_y,root_pos_z,root_rot_x,root_rot_y,root_rot_z,root_rot_w,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,l_hip_pitch_angle,l_hip_roll_angle,l_thigh_angle,l_calf_angle,l_ankle_pitch_angle,l_ankle_roll_angle,l_shoulder_pitch_angle,l_shoulder_roll_angle,l_upper_arm_angle,l_elbow_angle,l_wrist_angle,r_hip_pitch_angle,r_hip_roll_angle,r_thigh_angle,r_calf_angle,r_ankle_pitch_angle,r_ankle_roll_angle,r_shoulder_pitch_angle,r_shoulder_roll_angle,r_upper_arm_angle,r_elbow_angle,r_wrist_angle,l_hip_pitch_angvel,l_hip_roll_angvel,l_thigh_angvel,l_calf_angvel,l_ankle_pitch_angvel,l_ankle_roll_angvel,l_shoulder_pitch_angvel,l_shoulder_roll_angvel,l_upper_arm_angvel,l_elbow_angvel,l_wrist_angvel,r_hip_pitch_angvel,r_hip_roll_angvel,r_thigh_angvel,r_calf_angvel,r_ankle_pitch_angvel,r_ankle_roll_angvel,r_shoulder_pitch_angvel,r_shoulder_roll_angvel,r_upper_arm_angvel,r_elbow_angvel,r_wrist_angvel
0,0.0035652878713716796,0.008962311282849427,0.37752300515243614,-0.008712842430325963,-0.00736817814499803,0.582382466194434,0.812834829099305,-0.006356506628381695,-0.0036770419169262734,-0.0025913899168977794,0.022775602665811426,0.014234819578096641,0.056936765901715224,-0.19776753281282902,-0.07159764538691381,-0.24904312612714352,0.36336152430595764,-0.2120650940812293,0.027789375280529733,0.025632261961034915,0.3321164802478621,-0.6473565608519393,-0.4824606888148877,0.01500183275955717,-0.3231382583987073,0.04559178087779117,0.1535853476513277,0.5887596806238844,-0.17964765847310998,0.10705998270381477,0.07164668379195824,-0.37314207916592024,0.7543067197343589,-0.5997618062924084,0.020110610651501534,0.09469438308620098,0.006437737079574568,-0.08298028300023075,-0.1750166885596094,0.05749143845844157,0.1163638880646427,-0.2567937500030015,-0.10292031494788523,-0.1717990978244821,0.2537762283746553,-0.09530553513780893,-0.12294717485666629,0.031299355595407544,0.06546367589126689,0.19102853923272378,-0.6231061826009132,0.10417921626421911,-0.11693946319014936,0.0891892838861541,-0.07069543286545299,0.17272584337820196,-0.06462338267757636
1,0.003594043953363825,0.008818285544668162,0.3774711773540982,-0.008606423739805717,-0.007124788696174412,0.5828478839769899,0.8125044682953997,-0.004959035376777084,-0.0033163678418161617,-0.004294064886996296,0.037577459854248416,0.01585737433068726,0.04625128755659026,-0.195873645151105,-0.07146889064532232,-0.25070273178714814,0.35986119053476545,-0.21091526531206048,0.030116653041822587,0.020496386960974885,0.3300580739489044,-0.6507925428084289,-0.4773851642473946,0.013095722056800992,-0.3255972018958406,0.04621776798969932,0.15489462116915304,0.5925802514085389,-0.19210978212512825,0.10914356702909915,0.06930789452815525,-0.37135829348819716,0.7528928110770499,-0.5963072894248443,0.018818142997950007,0.05060375753435514,-0.016663234482998043,-0.03962585632229232,-0.09916144074249567,-0.0025186951190726836,0.10947148336210724,-0.20343784839639634,-0.07236270722732474,-0.11957904599761426,0.1913206393383146,-0.14692447978053258,-0.08295496939002833,0.010449210576572547,0.0717106822506551,0.11999642387950371,-0.4728937212695794,0.034368734719724195,-0.0983055965132252,0.04141640544760711,-0.06333798448240613,0.11321029533224447,0.004450537026777154
2,0.003627375966762596,0.008731899493959833,0.3773512425569563,-0.008280642122540486,-0.006680261334591333,0.5831414434411398,0.8123009676320245,-0.004257706341389605,-0.0036176967753341754,-0.005541620339094555,0.05091577392543162,0.006766785465218571,0.038536644214104104,-0.19574338251145482,-0.07226417476623373,-0.2506281603800352,0.3593950666762578,-0.21216584188599222,0.03216823461501402,0.01749474802517906,0.3292219719587691,-0.6521397226918438,-0.4748078632413551,0.009124853568335867,-0.32645645717430843,0.04600974930085407,0.1564537749413539,0.5935595375790645,-0.19856340732389316,0.10843473209260374,0.06771445993142923,-0.37148542294801595,0.7517732003550627,-0.5952333944791186,0.02028863213257262,0.0012883959367666897,-0.029599998765539315,0.04134010442608457,-0.0016663705682221086,-0.0907991426180782,0.0895421363318799,-0.13373925681834112,-0.03915665228247517,-0.04530455165344671,0.11665646683991088,-0.1790530717996208,-0.004779313137448504,-0.020219894234411312,0.062186457573772114,-0.01333321355095618,-0.2612039004199047,-0.04818659270602842,-0.0584613415690563,-0.0023913390944541035,-0.033026169592062504,0.021579397671131484,0.08068786170184021
3,0.0036766872440136765,0.008610643170122405,0.3772495125405344,-0.007852931453562017,-0.006427388369373332,0.5834808966994461,0.8120634601637639,-0.008146430021211301,-0.006460584756479548,-0.00681403610745812,0.06330371505828127,-0.01752643488098201,0.0518621559477574,-0.19582210931363433,-0.07265289059594389,-0.24904912761010475,0.35979453571203657,-0.2145472310167836,0.033698338495097784,0.01514681668824124,0.3284918078576054,-0.6526047248745668,-0.47271890557379814,0.00593359918481616,-0.32578837442133857,0.04540897222032287,0.15738207947210392,0.5920469228665006,-0.20255793814192444,0.10721610332085801,0.066969440865393,-0.3714539470519753,0.7515717642933674,-0.5954441135179991,0.022045657466023615,-0.0032497817427361297,-0.025214600150094343,0.08400102649959301,0.028848326410467473,-0.1373420105284108,0.06510025722590139,-0.11033559465796267,-0.050408177863650594,0.029593846557279813,0.12399590650353787,-0.1361412380902409,0.04508145044452572,-0.03692270594565349,0.035276104264427705,-0.08473537351026406,-0.15838710631949707,-0.10345659917664202,-0.044789526667911306,0.017696903629192684,-0.028418308354902222,0.005125874133027342,0.09434075930413324
4,0.003768342189532324,0.008340627097775444,0.37707868111265797,-0.0070412429579245475,-0.006234238379663883,0.5839872724451773,0.8117083348047347,-0.009098806205878707,-0.006218060145508174,-0.006592782579002698,0.05566323732078164,-0.021458047085150006,0.06731755204811647,-0.19587337378116426,-0.0732727587722375,-0.2472681193200515,0.3605489997326765,-0.21765952230712865,0.03477224490405008,0.013081324238860555,0.3272056448442231,-0.6509559688295526,-0.4698480269812136,0.0036792040447262307,-0.3246531991565274,0.044532841063027934,0.157864819111931,0.590170122638654,-0.20489889157667304,0.10429646812553806,0.06592287886471278,-0.37077754680284825,0.7506364680208666,-0.5950283595137975,0.02406226250473795,-0.021463888312651946,-0.017973489842809665,0.08479117021360227,0.0722034298629215,-0.15468766839393244,0.04473084920738335,-0.10441895529615898,-0.06148798529242855,0.05751830947696157,0.1361568530730689,-0.11949431266476115,0.07366932605848697,-0.02681973440612391,0.022092491622500987,-0.13252376182001369,-0.10619864771295173,-0.12227729373358136,-0.062300893320392514,0.029979604240468194,-0.01802949074166671,0.06153692737330407,0.12453155426056499
5,0.003796833152968285,0.008186509895415101,0.3769858012373743,-0.006690195672646481,-0.006135439883100616,0.5845756027168033,0.8112884581747658,-0.0008796796008544081,-0.005180811702273099,-0.006342399909756158,0.02987206266613302,-0.004232537555842544,0.06918910271383776,-0.1966806648461404,-0.07337183018965628,-0.24565748080156066,0.3626826729065534,-0.2207347377525409,0.03548757246339312,0.010970058476394881,0.32603228844590826,-0.6503039924954883,-0.4672726314508754,0.0011538266782257132,-0.3228416013789991,0.044336182844077913,0.15826577913700396,0.5867459723937001,-0.2068058840504425,0.10232501157151476,0.0644774051325773,-0.3702547628823566,0.7508505846637007,-0.5929826364230669,0.027026919636446215,-0.0251125539703953,0.006623435250107529,0.08356839755142773,0.09226461124241941,-0.16580183985883956,0.020812007492362547,-0.06041457032911722,-0.06108587873545207,0.05045902817600867,0.13328958582554257,-0.08855557513346478,0.10963674132218743,0.0035281997626854245,0.0277241186194363,-0.18297095282063525,-0.08411769782936396,-0.10055589053061566,-0.035685374912664686,0.04190959998503635,-0.0035194960167794775,0.09052167034161729,0.10673963623994455
6,0.003953787934366471,0.008241665946437056,0.3768249851162677,-0.006498636316185484,-0.0059630060579383935,0.5851119565675534,0.8109045619346781,0.006434678398733294,-0.008538766758257705,-0.007021167158904884,0.007048983308452947,-0.00954301871606028,0.055026694618380785,-0.19687787593998007,-0.0730078213622332,-0.24392538341799438,0.3642395841823733,-0.22429159590148223,0.03560472520374458,0.010664741425695866,0.324762209694805,-0.6489376077025123,-0.4645164435481919,0.0001369810393876392,-0.3202677295036399,0.04467396905353535,0.15897378385670846,0.5828512845258286,-0.2082635994898476,0.10027423250431343,0.06449546386820619,-0.3691011628034468,0.7504956881801954,-0.5914074927001328,0.028331847954335732,0.013030756173447455,0.048479385184800605,0.10155301877073572,0.06579231464745039,-0.17958567577051193,-0.0066615189897553315,0.020213258493982644,-0.040472181869112556,0.06528722937919618,0.11919132565121615,-0.030665963568192196,0.13033290899258643,0.04444606207722156,0.043140544390096736,-0.1604350289574452,-0.05352334938894046,-0.08412205682415269,0.014175685708393143,0.08739061168414747,-0.037478315819797214,0.10445741727822255,0.03746261037992594
7,0.004202104321648523,0.008323112523471215,0.3767049545510181,-0.006457395069340661,-0.006214926083868882,0.5854671911353607,0.8106465597575562,0.002273689748301626,-0.009245698708012838,-0.006903648145413499,-0.012726882025149523,-0.027611055486422346,0.0380844283019453,-0.19615943459920251,-0.07143265478226425,-0.24159536005073123,0.36531436549245144,-0.22791816478336138,0.035221111703802904,0.011778588816154187,0.32441340117114376,-0.6476925033203205,-0.46250497842482674,-7.281186450197461e-05,-0.31762828501929563,0.046114025327166776,0.15999140091260783,0.5803285712354023,-0.20894681802600013,0.09896012929854865,0.06504443256091302,-0.3667591384149907,0.7493514520309088,-0.588804339731938,0.028525424051643253,0.028691500120076735,0.07315882315158499,0.10674795587015187,0.05343702537149442,-0.16747823255491706,-0.02752023296602544,0.030989328612836653,-0.018364314172944485,0.08806964536830497,0.0845386240780302,0.019172413179818,0.12681167510472796,0.07510676337426359,0.03895535903407632,-0.13761994554737367,-0.050659622647719615,-0.09031647697108867,0.002920376565515234,0.09251989534076605,-0.025985458099847536,0.08442949599397898,0.005938121342664686
8,0.0043334566791104045,0.00821173569856008,0.3765488391904512,-0.006376848587050162,-0.006564579374374622,0.5857239880445827,0.8104589143990485,0.0007011742109490592,-0.007920885954243052,-0.007029493852495072,-0.02602077113336514,-0.0193408158605744,0.02898092305935797,-0.195730215935177,-0.0700814684361698,-0.2396554651831883,0.36637706519723306,-0.23099072520367891,0.03450391588510356,0.011904314570209332,0.32402763712788724,-0.6454148218877801,-0.4611348985850707,0.0009038775665803592,-0.3151952624994508,0.047678239588505894,0.16053199821807151,0.5773464867039336,-0.21028998439575639,0.09666157342546988,0.0646122789308268,-0.36540036698981615,0.7494562698562015,-0.5880303128603737,0.02856937280804232,0.018947433423965182,0.08288970594389315,0.11099349968648267,0.041597515506697214,-0.1663325971222443,-0.042392144079105715,0.03673498006855013,0.00011759247152409724,0.06450071765668475,0.01877657637874841,0.05204347130121829,0.10589101929456418,0.08151183253837495,0.02235070118059082,-0.13573397609255855,-0.059800615586859396,-0.10211638590891074,0.01093762839548297,0.06525797457735266,-0.004443245010113395,0.018252012016339858,-0.046191867174226464
9,0.004511739540623125,0.008250329568809358,0.3764237747969183,-0.006648784030880558,-0.0068370537006877735,0.5859315930107261,0.8103043975442297,0.002615843510764164,-0.010819206044369261,-0.006126945528767135,-0.03517857864013432,-0.023887012989706625,0.02398275113025987,-0.1954015372622439,-0.06811706654450853,-0.23715562006327193,0.36697826611271933,-0.23457146866825115,0.033525425940638676,0.013247988018896192,0.3244181048700047,-0.6451124746140531,-0.4617539153696768,0.002008926987546757,-0.31339264424751306,0.049374498628701774,0.16088542895983146,0.5748992121916999,-0.2113388426494745,0.09487547386219222,0.06548193769673234,-0.3641488194318966,0.7491737222305043,-0.5880742592512844,0.026677749364674194,0.038898978706874976,0.10493830243679253,0.10753436892434048,0.010038745586266051,-0.1843416967939389,-0.04446264414164399,0.07427760819123898,0.0332855015955591,0.03881601926697675,-0.023643599238207247,0.08199637628303393,0.12357346987022372,0.0848137054971089,0.0016047705273893043,-0.16366083125144426,-0.06222448949166001,-0.10285118627503323,0.049886909259036494,0.07110497504810437,-0.03670321551513811,-0.0014104713655177514,-0.13217514948927392
