frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0,0.001090965933440189,-0.00694259169430668,0.3563712809004593,-0.1200677200871139,-0.02480560418720133,0.9891382259263228,0.08108017393491967,-0.9071887321640548,0.09583117757389684,-0.04153820854582061,0.899732024088259,-0.16308105912518892,0.0577202336202481,-1.0309398114253372,-0.07048758601609693,0.0046376397190361586,1.008574645622851,-0.039579018147877607,0.01536112423805508,0.19092804320232748,0.5515687996875183,-0.08109706352348924,-1.7999999327439424,0.13892741766830646,0.2127622389790229,-0.48958767753726734,0.1981380610554717,-1.7999997661484513,-0.39207613627923515
1,0.0011971108682820274,-0.007086580468813228,0.3563735245587429,-0.1217046423896851,-0.024860666657625343,0.9889364000155123,0.08108467178508647,-0.9155944787095921,0.09546271494566824,-0.040354660749399224,0.907525943436245,-0.2481829265262427,0.08299447480990962,-1.0364058879770208,-0.07028490213822687,0.004213006920700231,1.0114929652028692,-0.13902678479756206,0.03356014843452815,0.18923346465103058,0.5526670331988995,-0.07916863383397457,-1.7999999999995797,0.13962303073473104,0.21248626941074306,-0.4921798046589266,0.19537301160491727,-1.7999999999985385,-0.39116223131929634
2,0.0011683455237657178,-0.007190906720022123,0.35644471479729606,-0.12141337906704729,-0.024919354846284714,0.989010164925218,0.08060217622470665,-0.9173148092158419,0.09436902054747637,-0.04035088787146881,0.9115317249281358,-0.3097959303298241,0.09398378960547793,-1.0358729385927352,-0.07085837336440581,0.00423868906256093,1.012444653506617,-0.20106339713319551,0.0451238189383518,0.1887980978971852,0.5533492018446414,-0.08019359850847972,-1.8,0.13597785198053994,0.21497005197511204,-0.4939701033255351,0.1937060121157262,-1.8,-0.3862571279542821
3,0.0009836494763535383,-0.007180559233379062,0.3564997910239945,-0.12112490089006853,-0.02500640360232962,0.9890930284485985,0.07999011962503554,-0.9182140257608159,0.09323229710950062,-0.04119667326196513,0.9144922306044807,-0.3470256405961175,0.09722513206269072,-1.0347157419551973,-0.07098102865497993,0.004095666486824886,1.0129127449073865,-0.2344841623037703,0.05149511403120554,0.19008734774740058,0.5540760614592857,-0.08068377927176096,-1.8,0.13337512474325866,0.21797943134462788,-0.49491269800175863,0.1931494373013784,-1.8,-0.3805566413861392
4,0.0008978607089751023,-0.007255262078204303,0.3564775493742036,-0.12103283215908102,-0.02518548106642335,0.9891317415161939,0.07959361160385407,-0.9197086362759331,0.09284792437393229,-0.04169320724595948,0.9182373273330899,-0.3655236695424386,0.09769442483533826,-1.0342247903341546,-0.07092753067452616,0.003781179781412656,1.0137885287673483,-0.25106890792611386,0.05460986039701066,0.19052144324181142,0.5521528776361652,-0.07927861058768562,-1.8,0.13299477332238493,0.22030240755526687,-0.4956625002641431,0.1907431245851069,-1.8,-0.3774423216208632
5,0.0008738446205920217,-0.0073161778450754784,0.35643714403104454,-0.12061066186580431,-0.025415860649356112,0.9891991985582657,0.07932242963644691,-0.9201803981038341,0.09243879249667751,-0.04259179547450925,0.9209027188090285,-0.37434598912133016,0.09793845016456437,-1.0335116193705347,-0.07044620314726958,0.003647021846779288,1.0149407709563087,-0.25890425265989797,0.05551212992143876,0.19074195256639884,0.5509106685870998,-0.0784757317519556,-1.8,0.13348431100492733,0.2218945228908035,-0.49634436568802953,0.1888619447342229,-1.8,-0.37415128326484387
6,0.0007346225705253731,-0.007314014755028701,0.356372028893939,-0.12038381180024371,-0.025552314916681803,0.9892394559204122,0.0791208942639575,-0.9208535185912521,0.09200131965177673,-0.043473214068992856,0.9236412039434281,-0.3781919285742748,0.09806637631882034,-1.0329757022184047,-0.06965617720724238,0.004139578535248919,1.016059543379631,-0.26313700592321504,0.05534520815039314,0.1929067491394614,0.5486574697501838,-0.07697880495628424,-1.8,0.1338517497279301,0.22403738381181995,-0.4963852227717302,0.18774389485749066,-1.8,-0.3715377633529061
7,0.0006757551088657239,-0.0073069294594394025,0.3562578626546203,-0.12033168660435252,-0.02549575646513496,0.989247256395519,0.0791209031492951,-0.9215795787900369,0.09159568780247782,-0.04414194787657803,0.9261248218195242,-0.3800548690574844,0.09815445363252856,-1.0330729450238954,-0.06975626212808839,0.0038306301442241493,1.0173508903131363,-0.26571382500033397,0.05503878861682141,0.19519180612564146,0.5453462170529082,-0.07418975874635728,-1.8,0.13675500468266308,0.2249748081369035,-0.49560479578703603,0.18691811279384507,-1.8,-0.3699087877969058
8,0.000638435882075435,-0.007240516119098795,0.3561753549831659,-0.12044163647991493,-0.02556779976828544,0.9892407813266202,0.07901124209469322,-0.9233884665615602,0.09182456167497932,-0.044347641181474606,0.9288663434242377,-0.38059048334232515,0.09732042296949171,-1.0344225192524643,-0.0692136496139664,0.003824607777387433,1.0196660756057867,-0.2664729806621414,0.05504737078828903,0.19625147298561266,0.5443220927447138,-0.07331666452610233,-1.8,0.1388884411031962,0.22542056784039682,-0.49503975665967664,0.18704951346577617,-1.8,-0.3682563579468219
9,0.000577412933003056,-0.00712782510394446,0.3560746671855413,-0.12065483256596325,-0.02545904925048003,0.9892279287035156,0.07888189439087173,-0.9255095730224306,0.09186421330494605,-0.04443082761944287,0.9321667381146738,-0.3801534445626269,0.09613966743724225,-1.0365996695631798,-0.06888629373498838,0.004088125523890694,1.0232440465162544,-0.2661841871825604,0.05516277130198152,0.19829775160072055,0.542673962403524,-0.07184191644768174,-1.8,0.14168468444023755,0.22613133359430324,-0.49367483252510563,0.18665357832182924,-1.8,-0.36711402041845304
10,0.0004238082359693862,-0.007012750133005092,0.3559817426136484,-0.12099148947444632,-0.025413223718318435,0.9891954761492896,0.0787879273796263,-0.9268574022424159,0.09197134939205738,-0.0446462937540934,0.9340344841378524,-0.38039246330935,0.0954782094188942,-1.0380878271790959,-0.0683177973803091,0.004613108318044999,1.0256001368279675,-0.2664440761939898,0.05522942530433607,0.20037217313848307,0.5416208579971196,-0.07132230419225136,-1.8,0.14440397308600053,0.2271169011275412,-0.4926396245853542,0.1868019934532068,-1.8,-0.36702860187580266
11,0.0003108804618069502,-0.006957973366709741,0.35588262406951404,-0.12134331447842023,-0.025284736988063276,0.9891595006748934,0.07873985224414956,-0.9276808792759001,0.09192432145263647,-0.04452232282469367,0.9347384181457067,-0.38127887782386516,0.09537664972924552,-1.0390570623216226,-0.06815565462033076,0.005249047643673264,1.0266303449133194,-0.2674021650352282,0.05504144421950114,0.2019388932136612,0.540604712322743,-0.07185321859238018,-1.8,0.14770150331150722,0.2277780498211482,-0.49177218470883055,0.18660916928500704,-1.8,-0.3676850928111579
